Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","159","China","5312","Area harvested","0113","Rice","1964","1964","ha","30348646","A","Official value",""
"QCL","Crops and livestock products","159","China","5412","Yield","0113","Rice","1964","1964","kg/ha","2828.9","A","Official value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1964","1964","t","85853775","A","Official value",""
"QCL","Crops and livestock products","159","China","5312","Area harvested","0113","Rice","1965","1965","ha","30574546","A","Official value",""
"QCL","Crops and livestock products","159","China","5412","Yield","0113","Rice","1965","1965","kg/ha","2966.7","A","Official value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1965","1965","t","90705628","A","Official value",""
"QCL","Crops and livestock products","159","China","5312","Area harvested","0113","Rice","1966","1966","ha","31294469","A","Official value",""
"QCL","Crops and livestock products","159","China","5412","Yield","0113","Rice","1966","1966","kg/ha","3144.5","A","Official value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1966","1966","t","98403988","A","Official value",""
"QCL","Crops and livestock products","159","China","5312","Area harvested","0113","Rice","1967","1967","ha","31198309","A","Official value",""
"QCL","Crops and livestock products","159","China","5412","Yield","0113","Rice","1967","1967","kg/ha","3100.6","A","Official value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1967","1967","t","96734821","A","Official value",""
"QCL","Crops and livestock products","159","China","5312","Area harvested","0113","Rice","1968","1968","ha","30662955","A","Official value",""
"QCL","Crops and livestock products","159","China","5412","Yield","0113","Rice","1968","1968","kg/ha","3186.8","A","Official value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1968","1968","t","97716770","A","Official value",""
"QCL","Crops and livestock products","159","China","5312","Area harvested","0113","Rice","1969","1969","ha","31195067","A","Official value",""
"QCL","Crops and livestock products","159","China","5412","Yield","0113","Rice","1969","1969","kg/ha","3141.5","A","Official value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1969","1969","t","97998501","A","Official value",""
"QCL","Crops and livestock products","159","China","5312","Area harvested","0113","Rice","1970","1970","ha","33107861","A","Official value",""
"QCL","Crops and livestock products","159","China","5412","Yield","0113","Rice","1970","1970","kg/ha","3416.2","A","Official value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1970","1970","t","113101872","A","Official value",""
"QCL","Crops and livestock products","159","China","5312","Area harvested","0113","Rice","1971","1971","ha","35639661","A","Official value",""
"QCL","Crops and livestock products","159","China","5412","Yield","0113","Rice","1971","1971","kg/ha","3314.5","A","Official value",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1971","1971","t","118129217","A","Official value",""
